X_Input,Y_Target
0.43621302,0.19028181
1.425251,2.0313404
0.5909257,0.34919316
-0.97013324,0.94115853
-1.960613,3.8440034
0.20466132,0.04188626
0.0072934353,5.31942e-05
1.6606742,2.7578387
0.9342547,0.8728318
-1.6387814,2.6856043
0.75608724,0.57166797
-0.77443844,0.59975487
0.39730301,0.15784968
-0.586289,0.3437348
-0.65216124,0.42531428
-1.7746023,3.1492133
-0.114961,0.013216032
0.61794806,0.3818598
-1.7551241,3.0804608
1.8462597,3.4086747
-0.38443112,0.14778729
1.7585368,3.0924516
-0.23092434,0.05332605
0.73036253,0.53342944
-1.8350966,3.3675797
-1.1215968,1.2579794
-1.8021798,3.247852
0.48287705,0.23317024
-0.28440312,0.080885135
1.2675143,1.6065927
0.12993698,0.016883617
1.9620878,3.8497882
-1.8429626,3.3965113
-0.4980262,0.2480301
-1.1810321,1.3948368
-1.4465199,2.0924196
0.9351285,0.87446535
0.5812177,0.337814
-1.2030396,1.4473045
-0.8241667,0.6792507
1.3346951,1.7814109
-1.1310095,1.2791826
0.7976535,0.6362511
1.4379759,2.0677748
0.6741877,0.45452905
-1.9123354,3.6570268
0.332494,0.110552244
1.4074905,1.9810295
-1.8921504,3.580233
1.3090743,1.7136756
-0.74699426,0.5580004
-0.18654592,0.034799382
-1.8182951,3.3061972
0.65619165,0.43058747
1.9811132,3.9248095
-0.49359727,0.24363826
1.9182093,3.6795268
1.224849,1.500255
0.9534682,0.9091016
0.04831942,0.0023347666
-1.5556631,2.4200876
1.1128787,1.2384989
-0.30456454,0.09275956
-0.76195633,0.5805775
1.9342475,3.7413135
1.5899001,2.5277822
-0.45601988,0.20795412
0.707053,0.49992394
-1.999038,3.9961529
1.4182541,2.011445
-1.1551696,1.3344169
-0.842035,0.70902294
1.6180196,2.6179872
1.3933387,1.9413927
-0.9581486,0.9180488
-0.10685561,0.011418121
0.5647784,0.31897467
1.6676153,2.780941
1.952092,3.8106635
-0.31046915,0.096391104
0.8470346,0.71746755
0.30847868,0.095159106
-1.662971,2.7654724
1.4454988,2.0894668
0.6825928,0.46593294
-1.5234307,2.320841
0.34772483,0.12091257
-1.9794618,3.918269
-1.6698842,2.7885132
-1.5335011,2.3516257
0.31063458,0.09649385
-1.5198091,2.30982
-1.7561285,3.0839875
0.55672115,0.30993843
